nm_candidato,display_name,ig_handle,fb_handle,uf
PATRUS ANANIAS DE SOUZA,PATRUS ANANIAS,,,MG
PAULA MORENO PARO BELMONTE,PAULA BELMONTE,paulabelmonteoficial,paulabelmonteoficial,DF
PAULO ABI-ACKEL,PAULO ABI ACKEL,pauloabiackel,abiackelpaulo,MG
PAULO EDUARDO LIMA MARTINS,PAULO MARTINS,,,PR
PAULO EDUARDO MAESTRI BENGTSON,PAULO BENGTSON,,,PA
PAULO FERNANDO DOS SANTOS,PAULÃO,paulaodopt,paulaodopt,AL
PAULO GUSTAVO GANIME ALVES TEIXEIRA,PAULO GANIME,pauloganime,pauloganime,RJ
PAULO JOSÉ CARLOS GUEDES,PAULO GUEDES,deputadopauloguedes,dep.paulo.guedes,MG
PAULO PEREIRA DA SILVA,PAULINHO DA FORÇA,,paulinho.face,SP
PAULO ROBERTO FOLETTO,FOLETTO,paulo.folletto,foletto.paulo,ES
PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE COSTA,,,SP
PAULO ROBERTO SEVERO PIMENTA,PAULO PIMENTA,,,RS
PAULO SERGIO ABOU ANNI,ABOU ANNI,abouanni,DeputadoFederalAbouAnni,SP
PAULO SERGIO RAMOS BARBOZA,PAULO RAMOS,deputadopauloramosrj,deputadopauloramosrj,RJ
PAULO VELLOSO DANTAS AZI,PAULO AZI,PauloAziofcial,PauloAzi,BA
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,PEDRO BEZERRA,,,CE
PEDRO BANDARRA WESTPHALEN,PEDRO WESTPHALEN,,,RS
PEDRO DEBONI LUPION MELLO,PEDRO LUPION,pedrolupion,pedrolupion,PR
PEDRO FRANCISCO UCZAI,PROFESSOR PEDRO UCZAI,,,SC
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,PEDRO LUCAS FERNANDES,,,MA
PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,,,PB
PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,rio.pedropaulo,rio.pedropaulo,RJ
RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,rafaelmottarn,rafaelmottarn,RN
RAIMUNDO MAGALHÃES COSTA,RAIMUNDO COSTA,,oficialraimundocosta,BA
RAUL JEAN LOUIS HENRY JUNIOR,RAUL HENRY,,,PE
REGINALDO LAZARO DE OLIVEIRA LOPES,REGINALDO LOPES,,reginaldolopesmg,MG
REJANE RIBEIRO SOUSA DIAS,REJANE DIAS,,,PI
RENATA HELLMEISTER DE ABREU,RENATA ABREU,renataabreu1919,renataabreu1919,SP
RENILDO VASCONCELOS CALHEIROS,RENILDO CALHEIROS,,,PE
RICARDO IZAR JUNIOR,RICARDO IZAR,deputadoricardoizar,ricardoizaroficial,SP
RICARDO JOSE MAGALHÃES BARROS,RICARDO BARROS,,ricardobarrosoficial,PR
RICARDO TEOBALDO CAVALCANTI,RICARDO TEOBALDO,ricardoteobaldo,ricardoteobaldooficial,PE
RICARDO ZANATTA GUIDI,RICARDO GUIDI,ricardozguidi,deputadoricardoguidi,SC
ROBERTO ALVES DE LUCENA,ROBERTO DE LUCENA,,dep.lucena,SP
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,GENERAL PETERNELLI,generalpeternelli,generalpeternelli,SP
ROBERTO SOARES PESSOA,ROBERTO PESSOA,robertopessoaoficial,RobertoPessoaOficial,CE
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,RODRIGO AGOSTINHO,rodrigoagostinho,RodrigoAgostinhoDeputado,SP
RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,,pages,MG
RODRIGO COELHO,RODRIGO COELHO,coelho_rodrigo,rodrigocoelhooficial,SC
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RODRIGO MAIA,rodrigomaiarj,rodrigomaiarj,RJ
ROGERIO CORREIA DE MOURA BAPTISTA,ROGÉRIO CORREIA,rogeriocorreia_,deputadorogeriocorreia,MG
ROGERIO MENDONÇA,PENINHA,deputadopeninha,deputadopeninha,SC
ROGERIO TEIXEIRA JUNIOR,JUNINHO DO PNEU,juninhodopneu,juninhodopneu01,RJ
RONALDO CARLETTO,RONALDO CARLETTO,,,BA
ROSA NEIDE SANDES DE ALMEIDA,PROFESSORA ROSA NEIDE,prof_rosaneide,ProfessoraRosaNeide,MT
ROSANA DE OLIVEIRA VALLE,ROSANA VALLE,rosanavalleoficial,RosanaValleOficial,SP
ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,rosangelasgomes,pages,RJ
ROSIANE MODESTO DE OLIVEIRA,ROSE MODESTO,,,MS
RUBENS BUENO,RUBENS BUENO,rbueno23,rubensbuenosegundoperfil,PR
RUBENS OTONI GOMIDE,RUBENS OTONI,,,GO
RUBENS PEREIRA E SILVA JUNIOR,RUBENS JUNIOR,,,MA
RUI GOETHE DA COSTA FALCÃO,RUI FALCÃO,ruifalcao13,rfalcao13,SP
RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,RUY CARNEIRO,ruy.carneiro,ruycarneiropb,PB
SAMIA DE SOUZA BOMFIM,SÂMIA BOMFIM,samiabomfim,samia.bomfim.psol,SP
SAMUEL MOREIRA DA SILVA JÚNIOR,SAMUEL MOREIRA,depsamuelmoreira,DeputadoSamuelMoreira,SP
SANDRO ALEX CRUZ DE OLIVEIRA,SANDRO ALEX,,,PR
SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,SEBASTIÃO OLIVEIRA,deputadosebastiaooliveira,deputadosebastiaooliveira,PE
