nm_candidato,display_name,ig_handle,fb_handle,uf,ig_status,fb_status,observacoes
NICOLINO BOZZELLA JUNIOR,JUNIOR BOZZELLA,jrbozzella,,SP,Validado,Validado,Achei o Facebook Handle junior.bozzella.1 mas parece antigo e não usado
NILSON PINTO DE OLIVEIRA,NILSON PINTO,nilsonpintooficial,DeputadoNilsonPinto,PA,Validado,Validado,
NILTO IGNACIO TATTO,NILTO TATTO,niltotatto,niltotattosp,SP,Validado,Validado,
NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO ALBUQUERQUE,nivaldoalbuquerque,DeputadoNivaldoAlbuquerque,AL,Validado,Validado,
NORMA AYUB ALVES,NORMA AYUB,normaayub,DeputadaNormaAyub,ES,Validado,Validado,
ODAIR JOSÉ DA CUNHA,ODAIR CUNHA,odaircunhamg,odaircunhamg,MG,Validado,Validado,
OLAVO BILAC PINTO NETO,BILAC PINTO,bilacpinto,,MG,Validado,Validado,Não achei Facebbok.
OLIVAL HENRIQUE MARQUES DE SOUZA,OLIVAL MARQUES,OlivalMarques,OlivalMarquesOficial,PA,Validado,Validado,
ONYX DORNELLES LORENZONI,ONYX LORENZONI,onyxlorenzoni,onyx.lorenzoni,RS,Validado,Validado,
ORLANDO SILVA DE JESUS JUNIOR,ORLANDO SILVA,orlandosilvasp,orlandosilvasp,SP,Validado,Validado,
OSIRES RODRIGUES DAMASO,OSIRES DAMASO,osiresdamaso,OsiresDamaso,TO,Validado,Validado,
OSMAR GASPARINI TERRA,OSMAR TERRA,terra.osmar,DeputadoOsmarTerra,RS,Validado,Validado,
OSSESIO JOSE DA SILVA,BISPO OSSESIO,ossesio.silva,ossesio.silva,PE,Validado,Validado,
OTONI MOURA DE PAULO JUNIOR,OTONI DE PAULA,otonidepaulaoficial,OtoniDeputadoFederal,RJ,Validado,Validado,
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,OTTO ALENCAR FILHO,ottofilho.oficial,otto.filho.oficial,BA,Validado,Validado,
PABLO OLIVA SOUZA,DELEGADO PABLO,delegadopablo,delegadopablo,AM,Validado,Validado,
PATRUS ANANIAS DE SOUZA,PATRUS ANANIAS,patrus_ananias,patrusananias13,MG,Validado,Validado,
PAULA MORENO PARO BELMONTE,PAULA BELMONTE,paulabelmonteoficial,paulabelmonteoficial,DF,Validado,Validado,
PAULO ABI-ACKEL,PAULO ABI ACKEL,pauloabiackel,abiackelpaulo,MG,Validado,Validado,
PAULO EDUARDO LIMA MARTINS,PAULO MARTINS,,PauloEduardoOficial,PR,Validado,Validado,"Não achei instagram
"
PAULO EDUARDO MAESTRI BENGTSON,PAULO BENGTSON,paulobengtson,prpaulobengtson,PA,Validado,Validado,Ele é pastor. Verificar separação de contas políticas e pessoais?
PAULO FERNANDO DOS SANTOS,PAULÃO,paulaodopt,paulaodopt,AL,Validado,Validado,
PAULO GUSTAVO GANIME ALVES TEIXEIRA,PAULO GANIME,pauloganime,pauloganime,RJ,Validado,Validado,
PAULO JOSÉ CARLOS GUEDES,PAULO GUEDES,deputadopauloguedes,pauloguedesmg,MG,Validado,Validado,
PAULO PEREIRA DA SILVA,PAULINHO DA FORÇA,deputadofederalpaulinho,paulinho.face,SP,Validado,Validado,
PAULO ROBERTO FOLETTO,FOLETTO,paulo.folletto,foletto.paulo,ES,Validado,Validado,
PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE COSTA,deppaulofreire,deputadopaulofreire,SP,Validado,Validado,
PAULO ROBERTO SEVERO PIMENTA,PAULO PIMENTA,,,RS,Validado,Validado,"Acho que apagou as contas, ou nunca teve"
PAULO SERGIO ABOU ANNI,ABOU ANNI,abouanni,DeputadoFederalAbouAnni,SP,Validado,Validado,
PAULO SERGIO RAMOS BARBOZA,PAULO RAMOS,,,RJ,Validado,Validado,"Tinha o handler ""deputadopauloramosrj"" para ambas as redes mas nenhum deles está acessível."
PAULO VELLOSO DANTAS AZI,PAULO AZI,,PauloAzi,BA,Validado,Validado,"Achei os handlers para IG como ""PauloAziofcial"" e ""pauloazi"" mas nenhum está acessível."
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,PEDRO BEZERRA,pedroaugustobezerradep,pedrobezerradep,CE,Validado,Validado,
PEDRO BANDARRA WESTPHALEN,PEDRO WESTPHALEN,pedrowestphalen,,RS,Validado,Validado,Não achei facebook
PEDRO DEBONI LUPION MELLO,PEDRO LUPION,pedrolupion,DeputadoPedroLupion,PR,Validado,Validado,
PEDRO FRANCISCO UCZAI,PROFESSOR PEDRO UCZAI,pedro.uczai,PedroUczai,SC,Validado,Validado,
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,PEDRO LUCAS FERNANDES,_pedrolucasfernandes,,MA,Validado,Validado,Não achei facebook
PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,,,PB,Validado,Validado,Não achei nada
PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,rio.pedropaulo,rio.pedropaulo,RJ,Validado,Validado,
RAFAEL HUETE DA MOTTA,RAFAEL MOTTA,rafaelmottarn,rafaelmottarn,RN,Validado,Validado,
RAIMUNDO MAGALHÃES COSTA,RAIMUNDO COSTA,oficialraimundocosta,oficialraimundocosta,BA,Validado,Validado,
RAUL JEAN LOUIS HENRY JUNIOR,RAUL HENRY,raulhenryoficial,RaulHenryPE,PE,Validado,Validado,
REGINALDO LAZARO DE OLIVEIRA LOPES,REGINALDO LOPES,reginaldolopesmg,reginaldolopesmg,MG,Validado,Validado,
REJANE RIBEIRO SOUSA DIAS,REJANE DIAS,rejane.dias,,PI,Validado,Validado,Não achei facebook
RENATA HELLMEISTER DE ABREU,RENATA ABREU,,renataabreu1919,SP,Validado,Validado,"O handler do IG ""renataabreu1919"" está indisponível. No site dela é o indicado como instagram oficial"
RENILDO VASCONCELOS CALHEIROS,RENILDO CALHEIROS,renildocalheiros,renildovcalheiros,PE,Validado,Validado,
RICARDO IZAR JUNIOR,RICARDO IZAR,deputadoricardoizar,deputadoricardoizar,SP,Validado,Validado,
